"","X","FISHSET_ID","SET_NO","TRIP","DATE_TIME3","SOAKMINP3P1","DEPTH","LATITUDE","LONGITUDE","YEAR","STATION","STRATUM_ID","NAFAREA_ID","Vess_fact","NUM_HOOK_HAUL","total_other_species","total_target_species","avg_weight"
"1",1,580212,19,"J98-0038A","1998-06-01 14:10:00",325,104,44.09867,-62.5625,1998,155,"3","4WK",24,1500,53,58,15.6551724137931
"2",2,580226,14,"J98-0038A","1998-05-30 18:35:00",535,106,43.6785,-62.88167,1998,141,"3","4WL",24,1500,108,91,11.2857142857143
"3",3,580250,17,"J98-0096","1998-06-06 23:46:00",2126,150.25,44.3,-59.68333,1998,177,"3","4VS",19,500,22,3,17.3333333333333
"4",4,580261,1,"J98-0096","1998-06-02 21:50:00",351,154.5,44.4,-61.38333,1998,80,"2","4WH",19,1000,2,2,6.5
"5",5,580262,2,"J98-0096","1998-06-02 23:58:00",418,94.75,44.33333,-61.25,1998,133,"3","4WH",19,1000,0,1,7
"6",6,580268,1,"J98-0156","1998-06-10 19:40:00",705,189,44.927,-61.102,1998,67,"1","4WD",12,980,2,0,NA
"7",7,580270,4,"J98-0156","1998-06-11 20:45:00",370,123.75,44.58167,-60.16483,1998,89,"2","4WE",12,980,1,1,20
"8",8,580274,12,"J98-0156","1998-06-13 20:10:00",97,222,44.83367,-60.592,1998,87,"2","4WE",12,1260,6,0,NA
"9",9,580277,8,"J98-0156","1998-06-12 15:23:00",368,62,44.12967,-60.566,1998,125,"3","4WF",12,980,0,0,NA
"10",10,580279,3,"J98-0156","1998-06-11 03:15:00",835,73.75,44.83467,-62.1735,1998,142,"3","4WK",12,980,58,0,NA
"11",11,580333,5,"J98-0037A","1998-05-26 18:21:00",518,113.75,45,-54.31667,1998,217,"3","3O",39,1000,107,0,NA
"12",12,580334,6,"J98-0037A","1998-05-27 14:32:00",378,93.75,44.83333,-53.45,1998,206,"3","3O",39,1000,236,0,NA
"13",13,580335,7,"J98-0037A","1998-05-27 17:33:00",486,86.5,44.98333,-53.48333,1998,200,"1","3O",39,1000,145,1,14
"14",14,580336,8,"J98-0037A","1998-05-28 22:21:00",844,125.75,45.83333,-53.91667,1998,220,"3","3O",39,1000,0,0,NA
"15",15,580337,10,"J98-0037A","1998-05-29 07:10:00",995,83.5,45.96667,-54.63333,1998,199,"3","3PS",39,1000,0,0,NA
"16",16,580338,11,"J98-0037A","1998-05-29 09:55:00",1090,84.5,46.08333,-54.76667,1998,195,"3","3PS",39,1000,0,0,NA
"17",17,580339,9,"J98-0037A","1998-05-29 05:08:00",915,91,45.98333,-54.55,1998,238,"3","3PS",39,1000,0,0,NA
"18",18,580340,1,"J98-0037A","1998-05-25 15:26:00",442,80,45.28333,-55.58333,1998,194,"2","3PS",39,1000,701,0,NA
"19",19,580341,2,"J98-0037A","1998-05-25 19:09:00",570,166,45.33333,-55.35,1998,193,"2","3PS",39,1000,412,0,NA
"20",20,580342,3,"J98-0037A","1998-05-25 23:43:00",683,455,44.98333,-55.33333,1998,237,"3","3PS",39,1000,45,8,28
"21",21,580343,4,"J98-0037A","1998-05-26 14:21:00",376,607.75,44.95,-54.58333,1998,239,"3","3PS",39,1000,211,2,22
"22",22,580377,7,"J98-0036","1998-05-29 21:14:00",511,69.25,43.60867,-60.2695,1998,81,"2","4WF",28,1000,80,0,NA
"23",23,580378,6,"J98-0036","1998-05-29 16:03:00",377,113,43.41533,-60.60983,1998,74,"2","4WG",28,1000,71,1,15
"24",24,580392,1,"J98-0036","1998-05-27 15:51:00",430,74.5,43.50633,-61.412,1998,100,"2","4WJ",28,1000,164,10,18.5
"25",25,580394,3,"J98-0036","1998-05-27 22:54:00",769,81.25,43.3975,-61.44017,1998,79,"2","4WJ",28,1000,123,0,NA
"26",26,580395,4,"J98-0036","1998-05-28 17:29:00",421,102.5,43.081,-61.71117,1998,156,"3","4WJ",28,1000,62,0,NA
"27",27,580396,5,"J98-0036","1998-05-28 22:30:00",623,99,43.14033,-61.93567,1998,120,"3","4WJ",28,1000,59,19,6.52631578947368
"28",28,580423,1,"J98-0037B","1998-05-31 21:30:00",360,103.25,45.4555,-52.86667,1998,241,"2","3O",39,1000,1,0,NA
"29",29,581258,7,"J98-0158","1998-07-20 20:30:00",43730,520,42.94333,-61.77717,1998,178,"3","4WJ",12,980,17,0,NA
"30",30,581259,1,"J98-0158","1998-07-18 14:00:00",43555,136.75,43.67617,-63.23483,1998,82,"2","4WL",12,980,22,1,8
"31",31,581260,2,"J98-0158","1998-07-18 16:00:00",43608,229,43.59017,-63.193,1998,127,"3","4WL",12,980,5,1,15
