FISHSET_ID,SET_NO,DATE_TIME3,SOAKMINP3P1,DEPTH,LATITUDE,LONGITUDE,YEAR,STATION,STRATUM_ID,NAFAREA_ID,NUM_HOOK_HAUL,total_other_species,total_target_species,broken_hook,empty_baited,empty_unbaited,other_species,target_species,missing_hook,total_sampled
100290212,1,6/14/2017 15:20,368,122,42.74117,-64.38267,2017,507,H11,4XN,989,157,19,1,41,161,92,5,0,300
100290552,3,5/27/2017 13:32,330,341,44.60767,-57.199,2017,567,H32,4VC,990,11,25,0,63,181,6,20,0,270
100290569,20,6/1/2017 19:10,617,72,43.98833,-50.88883,2017,628,H51,3OE,990,92,2,0,225,10,33,2,0,270
100290573,24,6/2/2017 20:28,733,58,44.2245,-50.224,2017,623,H51,3NC,990,350,16,0,152,47,69,2,0,270
100290621,24,6/21/2017 19:59,696,89.5,43.75883,-51.7055,2017,643,H51,3OE,1000,141,0,0,188,57,25,0,0,270
100290623,26,6/22/2017 14:17,376,70.75,43.6605,-50.66967,2017,635,H51,3NC,1000,7,0,1,235,30,4,0,0,270
100290624,27,6/23/2017 17:23,562,115.5,43.06983,-50.83317,2017,645,H51,3NE,1000,33,2,0,193,58,17,2,0,270
100290625,28,6/23/2017 23:26,655,380.5,42.84983,-50.17733,2017,650,H53,3NE,1000,263,46,0,165,41,50,14,0,270
100290626,29,6/24/2017 14:09,368,64.5,43.14417,-50.05867,2017,637,H51,3NE,1000,74,0,1,116,132,21,0,0,270
100290627,30,6/24/2017 16:00,445,66,43.179,-49.9745,2017,636,H51,3NF,1000,159,0,0,111,104,55,0,0,270
100290628,31,6/24/2017 18:06,521,61,43.196,-49.83533,2017,630,H51,3NF,1000,4,0,2,72,196,0,0,0,270
100290629,32,6/24/2017 20:51,593,317.75,43.09267,-49.684,2017,649,H53,3NF,1000,401,23,0,92,81,88,9,0,270
100290630,33,6/25/2017 14:38,398,59.25,43.73483,-49.85433,2017,626,H51,3NC,1000,20,1,1,179,85,5,0,0,270
100290631,34,6/25/2017 17:29,465,52.5,43.7805,-49.564,2017,624,H51,3NC,1000,19,0,0,128,134,8,0,0,270
100290632,35,6/25/2017 20:37,555,409,43.64683,-49.4015,2017,646,H52,3NC,1000,56,11,7,143,95,17,8,0,270
100290633,36,6/26/2017 14:49,408,68.5,43.9895,-49.2165,2017,620,H51,3ND,1000,41,0,0,99,152,19,0,0,270
100290634,37,6/26/2017 19:35,516,50.5,44.29417,-49.50367,2017,618,H51,3NC,1000,46,0,2,112,145,11,0,0,270
100290638,41,6/27/2017 14:03,362,54,44.65483,-50.14183,2017,617,H51,3NC,1000,428,2,0,107,70,93,0,0,270
100290639,42,6/27/2017 16:10,446,49,44.603,-50.05417,2017,619,H51,3NC,1000,483,29,0,93,69,102,6,0,270
100290644,47,6/28/2017 23:40,915,74.5,43.88217,-51.033,2017,634,H51,3OE,1000,495,0,0,112,83,75,0,0,270
