"","X","FISHSET_ID","SET_NO","TRIP","DATE_TIME3","SOAKMINP3P1","DEPTH","LATITUDE","LONGITUDE","YEAR","STATION","STRATUM_ID","NAFAREA_ID","Vess_fact","NUM_HOOK_HAUL","total_other_species","total_target_species","broken_hook","empty_baited","empty_unbaited","other_species","target_species","missing_hook","total_sampled","avg_weight"
"1",1,100290212,1,"J17-0263","2017-06-14 15:20:00",368,122,42.74117,-64.38267,2017,507,"H11","4XN",48,989,157,19,1,41,161,92,5,0,300,9.57894736842105
"2",2,100290552,3,"J17-0204A","2017-05-27 13:32:00",330,341,44.60767,-57.199,2017,567,"H32","4VC",70,990,11,25,0,63,181,6,20,0,270,9.32
"3",3,100290569,20,"J17-0204A","2017-06-01 19:10:00",617,72,43.98833,-50.88883,2017,628,"H51","3OE",70,990,91,2,0,225,10,33,2,0,270,17.5
"4",4,100290573,24,"J17-0204A","2017-06-02 20:28:00",733,58,44.2245,-50.224,2017,623,"H51","3NC",70,990,347,16,0,152,47,69,2,0,270,21.125
"5",5,100290621,24,"J17-0204B","2017-06-21 19:59:00",696,89.5,43.75883,-51.7055,2017,643,"H51","3OE",70,1000,140,0,0,188,57,25,0,0,270,NA
"6",6,100290623,26,"J17-0204B","2017-06-22 14:17:00",376,70.75,43.6605,-50.66967,2017,635,"H51","3NC",70,1000,7,0,1,235,30,4,0,0,270,NA
"7",7,100290624,27,"J17-0204B","2017-06-23 17:23:00",562,115.5,43.06983,-50.83317,2017,645,"H51","3NE",70,1000,33,2,0,193,58,17,2,0,270,6
"8",8,100290625,28,"J17-0204B","2017-06-23 23:26:00",655,380.5,42.84983,-50.17733,2017,650,"H53","3NE",70,1000,259,46,0,165,41,50,14,0,270,13.8260869565217
"9",9,100290626,29,"J17-0204B","2017-06-24 14:09:00",368,64.5,43.14417,-50.05867,2017,637,"H51","3NE",70,1000,74,0,1,116,132,21,0,0,270,NA
"10",10,100290627,30,"J17-0204B","2017-06-24 16:00:00",445,66,43.179,-49.9745,2017,636,"H51","3NF",70,1000,158,0,0,111,104,55,0,0,270,NA
"11",11,100290628,31,"J17-0204B","2017-06-24 18:06:00",521,61,43.196,-49.83533,2017,630,"H51","3NF",70,1000,4,0,2,72,196,0,0,0,270,NA
"12",12,100290629,32,"J17-0204B","2017-06-24 20:51:00",593,317.75,43.09267,-49.684,2017,649,"H53","3NF",70,1000,393,23,0,92,81,88,9,0,270,17.2608695652174
"13",13,100290630,33,"J17-0204B","2017-06-25 14:38:00",398,59.25,43.73483,-49.85433,2017,626,"H51","3NC",70,1000,20,1,1,179,85,5,0,0,270,40
"14",14,100290631,34,"J17-0204B","2017-06-25 17:29:00",465,52.5,43.7805,-49.564,2017,624,"H51","3NC",70,1000,19,0,0,128,134,8,0,0,270,NA
"15",15,100290632,35,"J17-0204B","2017-06-25 20:37:00",555,409,43.64683,-49.4015,2017,646,"H52","3NC",70,1000,55,11,7,143,95,17,8,0,270,13.7272727272727
"16",16,100290633,36,"J17-0204B","2017-06-26 14:49:00",408,68.5,43.9895,-49.2165,2017,620,"H51","3ND",70,1000,41,0,0,99,152,19,0,0,270,NA
"17",17,100290634,37,"J17-0204B","2017-06-26 19:35:00",516,50.5,44.29417,-49.50367,2017,618,"H51","3NC",70,1000,45,0,2,112,145,11,0,0,270,NA
"18",18,100290638,41,"J17-0204B","2017-06-27 14:03:00",362,54,44.65483,-50.14183,2017,617,"H51","3NC",70,1000,424,2,0,107,70,93,0,0,270,12
"19",19,100290639,42,"J17-0204B","2017-06-27 16:10:00",446,49,44.603,-50.05417,2017,619,"H51","3NC",70,1000,479,29,0,93,69,102,6,0,270,17.7241379310345
