Year,Station,STRATA,lat.DecDeg,lon.DecDeg,NAFO,Comments
2019,501,H11,45.225,-64.763,4X,
2019,502,H11,45.239,-65.483,4X,
2019,503,H11,44.319,-63.661,4X,
2019,504,H11,44.234,-63.443,4X,
2019,505,H11,44.200,-63.356,4X,
2019,506,H11,44.937,-66.239,4X,
2019,507,H11,44.129,-64.347,4X,
2019,508,H11,44.710,-66.166,4X,
2019,509,H11,43.260,-64.226,4X,
2019,510,H11,43.145,-64.249,4X,
2019,511,H11,43.824,-66.296,4X,
2019,512,H11,43.310,-65.438,4X,
2019,513,H11,43.112,-65.457,4X,
2019,514,H11,42.681,-65.944,4X,
2019,515,H11,42.070,-66.058,5Ze,
2019,516,H11,41.570,-66.360,5Ze,
2019,517,H12,44.122,-63.578,4X,
2019,518,H12,43.892,-63.518,4X,
2019,519,H12,43.414,-63.357,4X,
2019,520,H12,43.489,-64.180,4X,
2019,521,H12,44.241,-66.793,4X,
2019,522,H12,42.892,-63.608,4X,
2019,523,H12,42.637,-64.426,4X,
2019,524,H12,43.560,-67.159,4X,
2019,525,H12,43.336,-67.560,4X,
2019,526,H12,42.941,-67.002,4X,
2019,527,H12,42.203,-66.866,5Ze,
2019,528,H13,42.652,-64.255,4X,
2019,529,H13,42.594,-67.052,4X,
2019,530,H21,44.371,-60.519,4W,
2019,531,H21,44.372,-60.917,4W,
2019,532,H21,44.607,-62.499,4W,
2019,533,H21,43.799,-60.568,4W,
2019,534,H21,44.040,-61.625,4W,
2019,535,H21,43.705,-61.035,4W,
2019,536,H21,43.659,-61.518,4W,
2019,537,H21,43.626,-62.545,4W,
2019,538,H21,43.257,-61.761,4W,
2019,539,H21,43.456,-62.335,4W,
2019,540,H21,43.084,-62.548,4W,
2019,541,H21,43.049,-62.463,4W,
2019,542,H21,43.023,-62.701,4W,
2019,543,H21,43.010,-62.874,4W,
2019,544,H21,42.978,-62.897,4W,
2019,545,H22,45.448,-60.468,4W,
2019,546,H22,44.665,-61.718,4W,
2019,547,H22,44.524,-61.882,4W,
2019,548,H22,44.218,-62.054,4W,
2019,549,H22,44.082,-62.436,4W,
2019,550,H22,44.085,-62.546,4W,
2019,551,H22,43.337,-60.867,4W,
2019,552,H23,43.750,-62.954,4W,
2019,553,H23,43.022,-61.603,4W,
2019,554,H31,47.007,-60.368,4Vn,
2019,555,H31,46.741,-59.928,4Vn,
2019,556,H31,46.062,-59.425,4Vn,
2019,557,H31,45.880,-59.102,4Vn,
2019,558,H31,45.988,-59.548,4Vn,
2019,559,H31,45.874,-59.286,4Vn,
2019,560,H31,45.221,-58.774,4Vs,
2019,561,H31,45.144,-58.603,4Vs,
2019,562,H31,44.557,-57.340,4Vs,
2019,563,H31,44.559,-58.922,4Vs,
2019,564,H31,44.706,-59.441,4Vs,
2019,565,H32,45.970,-58.725,4Vn,
2019,566,H32,44.609,-57.175,4Vs,
2019,567,H32,45.444,-59.471,4Vs,
2019,568,H32,44.305,-59.307,4Vs,
2019,569,H32,43.943,-58.798,4Vs,
2019,570,H33,47.704,-60.015,4Vn,
2019,571,H33,47.413,-59.715,4Vn,
2019,572,H33,47.307,-59.561,4Vn,
2019,573,H33,47.026,-59.195,4Vn,
2019,574,H33,47.121,-59.724,4Vn,
2019,575,H33,45.976,-57.875,4Vn,
2019,576,H33,45.386,-57.438,4Vs,
2019,577,H33,44.682,-56.694,4Vs,
2019,578,H41,47.032,-55.008,3Ps,
2019,579,H41,47.333,-55.917,3Ps,
2019,580,H41,46.566,-54.335,3Ps,
2019,581,H41,47.072,-55.921,3Ps,
2019,582,H41,46.256,-55.774,3Ps,
2019,583,H41,45.833,-55.003,3Ps,
2019,584,H41,45.750,-54.837,3Ps,
2019,585,H41,45.900,-55.496,3Ps,
2019,586,H41,46.389,-56.701,3Ps,
2019,587,H41,45.902,-55.680,3Ps,
2019,588,H41,45.487,-54.846,3Ps,
2019,589,H41,46.618,-57.290,3Ps,
2019,590,H41,45.795,-56.642,3Ps,
2019,591,H42,47.289,-55.452,3Ps,
2019,592,H42,46.450,-55.084,3Ps,
2019,593,H42,46.626,-55.538,3Ps,
2019,594,H42,46.265,-54.890,3Ps,
2019,595,H42,46.447,-55.714,3Ps,
2019,596,H42,47.532,-58.185,3Pn,
2019,597,H42,47.275,-58.481,3Pn,
2019,598,H42,45.278,-55.048,3Ps,
2019,599,H43,47.426,-56.398,3Ps,
2019,600,H43,47.443,-59.380,3Pn,
2019,601,H43,47.400,-59.480,3Pn,
2019,602,H43,45.054,-54.958,3Ps,
2019,603,H43,46.289,-57.898,3Ps,
2019,604,H43,44.967,-55.224,3Ps,
2019,605,H43,45.620,-57.288,3Ps,
2019,606,H43,45.027,-56.501,3Ps,
2019,607,H51,45.510,-49.079,3N,
2019,608,H51,45.118,-49.530,3N,
2019,609,H51,45.506,-50.264,3N,
2019,610,H51,45.728,-50.730,3N,
2019,611,H51,45.438,-50.793,3N,
2019,612,H51,45.095,-50.205,3N,
2019,613,H51,44.987,-50.260,3N,
2019,614,H51,44.337,-49.186,3N,
2019,615,H51,44.621,-49.961,3N,
2019,616,H51,45.873,-52.314,3O,
2019,617,H51,44.192,-49.413,3N,
2019,618,H51,45.062,-50.948,3N,
2019,619,H51,43.972,-49.212,3N,
2019,620,H51,45.969,-52.916,3O,
2019,621,H51,45.083,-51.880,3O,
2019,622,H51,44.628,-51.163,3O,
